dataset,station,sim,template,peak_date,peak_time,peak_corr,snr_linear,snr_db,threshold_used,duration_s,event_dt,matched_arrival_dt,match_delta_s
ingv,ECPN,sim3,template1,2023-02-03,23:03:50,0.5061109540373422,0.7825403391734087,-2.1298653151481663,0.5,,2023-02-03 23:03:50,2023-02-03 23:13:30.191623,-580.191623
ingv,ECPN,sim3,template3,2023-02-03,23:44:09,0.5000678233889511,0.7822236269738785,-2.1333814074269104,0.5,,2023-02-03 23:44:09,2023-02-03 23:35:12.936521,536.063479
ingv,ECPN,sim4,template3,2023-02-04,23:38:06,0.5699697042367136,0.9656792351124128,-0.3033421415548945,0.5,,2023-02-04 23:38:06,2023-02-04 23:29:14.149527,531.850473
ingv,ECPN,sim4,template3,2023-02-08,01:46:32,0.5236817282856366,0.9534043488691382,-0.4144574281761449,0.5,,2023-02-08 01:46:32,2023-02-08 01:55:50.336759,-558.336759
ingv,ECPN,sim4,template3,2023-02-11,00:45:34,0.5122873836619364,0.9894832756741552,-0.0918308375157189,0.5,,2023-02-11 00:45:34,2023-02-11 00:53:00.620103,-446.620103
ingv,ECPN,sim3,template2,2023-02-13,21:17:24,0.5479298277880668,0.943598238540137,-0.5042575700784109,0.5,,2023-02-13 21:17:24,2023-02-13 21:26:10.400410,-526.40041
ingv,ECPN,sim4,template3,2023-02-15,05:25:39,0.5841585617005851,1.1041599630402057,0.8606399104937396,0.5,,2023-02-15 05:25:39,2023-02-15 05:34:29.680596,-530.680596
ingv,ECPN,sim3,template3,2023-02-15,05:27:24,0.5129643532677689,1.1303852457359946,1.064529605662488,0.5,,2023-02-15 05:27:24,2023-02-15 05:34:29.680596,-425.680596
ingv,ECPN,sim4,template2,2023-02-16,03:09:24,0.5608479394918632,1.0579987136294644,0.4897027932278585,0.5,,2023-02-16 03:09:24,2023-02-16 03:00:17.690629,546.309371
ingv,ECPN,sim4,template3,2023-02-16,08:54:48,0.5124359903440299,1.26121202692602,2.015762070611858,0.5,,2023-02-16 08:54:48,2023-02-16 08:47:09.402263,458.597737
ingv,ECPN,sim3,template3,2023-02-16,08:56:28,0.5736582695536985,1.2476698230659748,1.9219934217942265,0.5,,2023-02-16 08:56:28,2023-02-16 08:47:09.402263,558.597737
ingv,ECPN,sim2,template2,2023-02-16,14:32:44,0.5063551227504229,1.1485625675912603,1.203093164665358,0.5,,2023-02-16 14:32:44,2023-02-16 14:40:29.302801,-465.302801
ingv,ECPN,sim2,template3,2023-02-16,15:38:50,0.5112641092644638,1.119746432909198,0.982393752402483,0.5,,2023-02-16 15:38:50,2023-02-16 15:46:59.923916,-489.923916
ingv,ECPN,sim3,template1,2023-02-19,14:38:11,0.6121935199025331,1.3784333094324015,2.787715183284373,0.5,,2023-02-19 14:38:11,2023-02-19 14:30:56.199358,434.800642
ingv,ECPN,sim1,template3,2023-02-20,02:43:37,0.5417818189507055,1.1987761880647785,1.574762154695068,0.5,,2023-02-20 02:43:37,2023-02-20 02:33:59.165984,577.834016
experiment,ECOR,sim2,template1,2023-07-24,12:12:02,0.6144259052760306,1.5058362681945556,3.555555059002724,0.5,,2023-07-24 12:12:02,2023-07-24 12:04:06.347176,475.652824
experiment,ECOR,sim1,template2,2023-07-24,19:30:29,0.522492296931799,1.006049468208574,0.0523867166211948,0.5,,2023-07-24 19:30:29,2023-07-24 19:38:36.090939,-487.090939
experiment,EC1,sim4,template3,2023-07-27,10:28:56,0.5524339549716607,1.0213043607592738,0.1831037251931647,0.5,,2023-07-27 10:28:56,2023-07-27 10:21:10.069133,465.930867
experiment,EC1,sim4,template3,2023-07-27,16:03:03,0.5006677768756006,0.6922404066604356,-3.194861083285318,0.5,,2023-07-27 16:03:03,2023-07-27 15:53:20.478359,582.521641
experiment,EC10,sim2,template1,2023-07-29,09:04:44,0.5131610988104052,1.1264505934143494,1.0342429628646812,0.5,,2023-07-29 09:04:44,2023-07-29 08:54:44.241892,599.758108
experiment,EC1,sim2,template2,2023-07-29,11:22:17,0.5828222557072706,0.9874906896468084,-0.1093398067708424,0.5,,2023-07-29 11:22:17,2023-07-29 11:14:56.481615,440.518385
experiment,EC1,sim1,template2,2023-07-30,19:47:26,0.5714042418169901,0.947836720824094,-0.4653293999163307,0.5,,2023-07-30 19:47:26,2023-07-30 19:57:18.243137,-592.243137
experiment,ECIT,sim1,template3,2023-07-31,12:23:10,0.5284750787533937,0.9607336977626726,-0.3479395227894624,0.5,,2023-07-31 12:23:10,2023-07-31 12:13:18.487134,591.512866
experiment,ECOR,sim4,template3,2023-08-02,14:48:50,0.5375807908889791,0.9140446661820314,-0.7806516257519698,0.5,,2023-08-02 14:48:50,2023-08-02 14:40:04.573352,525.426648
experiment,EMAS,sim2,template2,2023-08-02,21:11:04,0.5094024727478568,1.5344664408214237,3.7191478947775294,0.5,,2023-08-02 21:11:04,2023-08-02 21:21:01.905808,-597.905808
